"","brand_name","brand_item","brand_price"
"89","발렌티노 루디","VR6575B-BKWT 디지털 전자시계 남여 공용시계","29800"
"90","버빌리안","플러터 프리미엄 메신저백_Black","45000"
"91","23.65","VERYLIGHT 2-PACK","69900"
"92","피지컬 에듀케이션 디파트먼트","PHYPS® CAPTAIN BEAR HOODIE NAVY","57400"
"93","뎃츠잇","소프트 테이퍼드 코튼 밴딩 팬츠_베이지","34300"
"94","리끌로우","RC B019 BLACK GLASS","26100"
"95","예일","THINK PACK","79000"
"96","이피티","코트_네이비 화이트","129000"
"97","인스턴트펑크","부클레 스탠다드 맨투맨 - 그린","82000"
"98","인스턴트펑크","부클레 스탠다드 스웨트 팬츠 - 그린","94000"
"99","오가프","KNOCKIN LOGO B.B CAP ORANGE","37800"
"100","마지언타이틀","올데이백 01 (블랙)","94050"
"101","나이키","데이브레이크 운동화 CK2351-101","136900"
"102","예일","(22SS) 2 TONE ARCH HOODIE GRAY","55300"
"103","퍼블릭아이콘","P[1005]롱 와이드 데님팬츠 (라이트블루)","29800"
"104","발렌티노 루디","VR6575B-BKWT 디지털 전자시계 남여 공용시계","29800"
"105","버빌리안","플러터 프리미엄 메신저백_Black","45000"
"106","23.65","VERYLIGHT 2-PACK","69900"
"107","피지컬 에듀케이션 디파트먼트","PHYPS® CAPTAIN BEAR HOODIE NAVY","57400"
"108","뎃츠잇","소프트 테이퍼드 코튼 밴딩 팬츠_베이지","34300"
"109","리끌로우","RC B019 BLACK GLASS","26100"
"110","예일","THINK PACK","79000"
"111","이피티","코트_네이비 화이트","129000"
"112","코드그라피","[송필드 PICK][SET] 헤비웨이트 CGP 로손 트레이닝 셋업_멜란지그레이","69900"
"113","코드그라피","UBC 로손 티셔츠_화이트","29900"
"114","코드그라피","[송필드 PICK][SET] 헤비웨이트 CGP 로손 트레이닝 셋업_그린","69900"
"115","코드그라피","[PERTEX] CGP 메신저백_블랙","119000"
"116","리복","로얄 울트라 - 크림:그린 / GX3522","49000"
"117","코드그라피","[송필드 PICK][SET] 헤비웨이트 CGP 로손 트레이닝 셋업_블랙","69900"
"118","코드그라피","UBC 로손 티셔츠_멜란지그레이","29900"
"119","코드그라피","CGP 아치 로고 볼캡_블랙","26100"
"120","코드그라피","[PERTEX] CGP 백팩_그레이","149000"
"121","나이키","데이브레이크 운동화 CK2351-101","136900"
"122","코드그라피","컴피 워셔 후드 숏 자켓_차콜","69900"
"123","코드그라피","CGP 스몰로고 2PACK 티셔츠","39900"
"124","코드그라피","딥 원턱 스웨트 버뮤다 반바지_블랙","29900"
"125","코드그라피","CGP 아치 로고 볼캡_그린","26100"
"126","코드그라피","[PERTEX] CGP 백팩_블랙","149000"
"127","컨버스","척 70 클래식  블랙 162058C","95000"
"128","코드그라피","[SET] 테크 워셔 절개 자켓 셋업_베이지","99900"
"129","코드그라피","CGP 아치 로고 티셔츠","29900"
"130","코드그라피","딥 원턱 스웨트 슬랙스_블랙","39900"
"131","코드그라피","CGP 클래식 로고 볼캡_블랙","30600"
"132","아디다스","오즈위고 - 트리플블랙 / EE6999","79900"
"133","나이스고스트클럽","고스트 홈 커밍 글로우 티셔츠_블랙(NG2CMUT502A)","35100"
"134","엠엔더블유","UNSMILE SWEAT PANTS M/GREY","59000"
"135","캡스앤스터프","플레이 숏비니(머스타드)","33000"
"136","벤 데이비스","오리지널 캠프백 블랙 40L","118000"
"137","뉴발란스","NBPDCS126N / MS327LJ1 (NAVY)","139000"
"138","엑스트라오디너리","B.S.C TEE_BLACK","43000"
"139","엑스트라오디너리","UTILITY RIPSTOP PANTS BEIGE","139000"
"140","캡스앤스터프","LAB 워싱 커브조절캡Ⅰ(네이비)","29000"
"141","토우토우아카이브","ARCHIVE-008 / BOYS PEARL BRACELET / BLACK*WHITE","45000"
"142","카네이테이","보헤미안 (블랙)","139000"
"143","이피티","코트_네이비 화이트","129000"
"144","비바스튜디오","BLACK CAT SHORT SLEEVE [WHITE]","35100"
"145","하이드아웃","MODOO PANTS 모두바지 (Beige)","76500"
"146","에리즈 얼라이즈","공용 노 프라블레모 볼캡 - 블랙 / FSAR90000BLACK","75000"
"147","이티씨이","LEATHER HILL BAG (GREEN)","215000"
"148","컨버스","척 70 시즈널 스웨이드 미드나잇터크 166214C","109000"
"149","디그레","런던 스웻셔츠 멜란지","89000"
"150","디미트리블랙","MADRAS 레이어링 체크셔츠 그린","52200"
"151","그라미치","G 쇼츠 Chino","79000"
"152","오가프","KNOCKIN LOGO B.B CAP ORANGE","37800"
"153","위캔더스","HOTDOG TOTE BAG (ORANGE)","89000"
"154","푸마","푸마 클럽 - 네이비:화이트:골드 / 381111-03","34900"
"155","커버낫","C 로고 옥스포드 스트라이프 셔츠 그레이","79000"
"156","올드비","VTG 플랫 프론트 오피서 치노 베이지","208000"
"157","파슬","FS4682 머신 Machine 쿼츠 남성 메탈시계 42mm","142900"
"158","제너","라운드 나일론 크로스백 [블랙]","24800"
"159","아식스","조그 100 S SMU - 라이트 그레이:미드 그레이 / 1201A564-020","69000"
"160","이벳필드","베츠 오버핏 피케 반팔티 네이비","44200"
"161","리","코듀라 로우 데님 레귤러 스트레이트핏 남성","71200"
"162","세미콜론 아이웨어","렌토 블랙 Glasses 블루 라이트 차단 렌즈","59000"
"163","실버태그","925 실버 은 팔찌 SIB-FW2ST 꼬임 팔찌","25600"
"164","몬스터리퍼블릭","MOVEMENT BACKPACK / BLACK","70100"
"165","뉴발란스","NBP7CS130G / CM878MC1 (GRAY)","129000"
"166","어반디타입","아노락 쓰리피스 풀 셋업_블랙","58600"
"167","나이스고스트클럽","구미베어&로고 티셔츠_화이트(NG2CMUT506A)","35100"
"168","뱅앤올룹슨","HX 노이즈 캔슬링 블루투스 헤드폰","679000"
"169","아칸","노구 폭풍우 유화2 하드케이스","18000"
"170","하이드아웃","왈라비 미니 사코슈 (Brown)","29000"
"171","널디","(21FW) 젤리그 볼드 크림","139000"
"172","예일","UNIVERSITY HANDSOME DAN TEE WHITE","29400"
"173","모스","핀턱 와이드 데님 팬츠_중청","103200"
"174","이벳필드","시카고 샴록 1932 코튼 빈티지 볼캡 네이비","27300"
"175","크레이터스","라지 메신저 포털 백","49000"
"176","캐치볼","오리지날 플러스 홀리데이 _ 레드","80100"
"177","메종 키츠네","남성 폭스 헤드 패치 클래식 반팔 티셔츠 - 화이트 / AM00103KJ0008P100","95000"
"178","브랜디드","1967 JET BLACK JEANS [WIDE STRAIGHT]","68000"
"179","루오에스팩","스포츠 볼캡-골프(그린)","29250"
"180","스캐치드","에센셜 블랙 클래식 하드 케이스","22000"
"181","버빌리안","디럭스 백팩_Black","89500"
"182","오니츠카타이거","GSM SD 212117052_100","180000"
"183","그루브라임","[패키지] NYC LOCATION T-SHIRT (16 Colors) [LRPMCTA401M]","35000"
"184","파르티멘토","와이드 스웨트 조거 팬츠 그레이","34900"
"185","블러1.0","ARCH LOGO CAP - COBALT BLUE","59000"
"186","엄브로","에너제틱 힙색 포기듀 (UN123CBG18)","59000"
"187","반스","스타일 36 - 화이트:네이비 / VN0A3DZ3YY21","89000"
"188","팔렛","듀스 네로 반팔티 피그먼트 챠콜","38700"
"189","어반디타입","PL142_러닝클럽 트랙 조거팬츠_라이트그레이","59500"
"190","척","로고 스티치 나일론 볼캡 (블랙)","29700"
"191","카부","로프 백 - Black","81000"
"192","살로몬 스포츠스타일","XT-6 - 화이트:화이트:루나 락 / L41252900","260000"
"193","피지컬 에듀케이션 디파트먼트","PHYPS® BEARS BASKETBALL DIET HOODIE GRAY","57400"
"194","예일","HERITAGE UNIVERSITY DAN SEERSUCKER REGURAL FIT SHIRT BLUE","118150"
"195","비슬로우","[슬로우보이]22SS WIDE FIT THREE TUCK CHINO SHORTS BEIGE","55200"
